trainer,training_center,total_score,club_score,sire_score,recent_score,management_score,brand_score,rank,tags,early_debut,late_maturing,grass,dirt,classic,club_fit,northern_fit,summary
須貝尚介,栗東,61,27,13,8,8,5,C,クラブ馬向き/短距離向き/長距離向き/使い分け上手,0,0,1,0,0,1,0,ソダシ(NHKマイルC等)、ゴールドシップ(GI複数勝)、ジャスタウェイ、ステラヴェローチェなど多彩な血統・distanceでGI馬を輩出し、2025年12月にJRA通算600勝を達成。父クロフネのソダシは芝短距離~マイル、父ステイゴールドのゴールドシップは長距離という対照的な適性で結果を出しており種牡馬別の使い分け能力は評価できる。一方で厩舎の評判には賛否があるとの言及もあり(出典の信頼性は限定的)、直近3年の具体的な順位・勝率データも情報不足。向く血統は幅広いが、特に個性の強い血統への対応力に強み。一口馬主としては大物感のある馬を任せたい会員向き。
高橋亮,栗東,34,14,5,6,6,3,D,クラブ馬向き,0,0,0,0,0,1,0,キャロットクラブから馬を受託していることが確認できる中堅厩舎。代表馬にスカーレットカラー、ミエノサクシード等がいるが、GI級の実績や得意種牡馬、直近3年の具体的な成績データはWebSearchでは十分に確認できず情報不足が多い。2013年開業、2024年5月にJRA通算200勝を達成しているが規模はまだ大きくない。強みとして騎手時代に重賞7勝の実績があり馬の見極めに一定の経験があると推測されるが、明確な裏付けは乏しい。向く血統・不向きな血統ともに判断材料が不足している。一口馬主としては情報が少なく、出資前に追加リサーチを強く推奨する厩舎。
中竹和也,栗東,42,18,6,7,7,4,D,クラブ馬向き/中距離向き,0,0,1,0,0,1,0,アカイイト(2022年エリザベス女王杯優勝)を管理し、2009年NHKマイルCなど複数の重賞実績を持つ中堅~ベテラン厩舎。JRA通算300勝を達成しているが、直近3年(2024-2026)の具体的な順位・勝率、得意種牡馬の傾向、運用スタイルについては情報不足が多い。強みは中距離GIでの実績があること、弱みは近年の勢いを裏付けるデータが乏しいこと。向く血統は中距離で長く活躍できるタイプ。一口馬主としては実績はあるが直近の状態を見極めにくく、募集馬の個別評価と合わせて判断すべき厩舎。
上村洋行,栗東,34,14,5,6,6,3,D,クラブ馬向き/早期デビュー,1,0,1,0,0,1,0,アルマヴェローチェ(2020年阪神ジュベナイルフィリーズ優勝)を管理した実績を持つ、元騎手(通算568~570勝)の厩舎。2017年に調教師試験に合格した比較的新しい厩舎で、2歳GIでの実績があることから早期デビュー・仕上げに強みがある可能性があるが、明確な裏付けは限定的。直近3年の具体的な成績データ、得意種牡馬、運用スタイルについては情報不足が多い。向く血統は早熟でスピードのあるタイプ。一口馬主としては情報が少なく、実績のある2歳戦線の即戦力を求める会員には候補になり得るが、追加確認が必要。
高柳瑞樹,美浦,60,28,7,11,9,5,C,クラブ馬向き/クラシック向き/社台向き/中距離向き,0,0,1,0,1,1,1,社台レースホース所属のスターズオンアース(優駿牝馬、NHKマイルC等GI複数勝)、デュレッツァ(2024年菊花賞)、トウシンマカオ(セントウルS)を管理する実力派厩舎。社台グループからの信頼度は高いと推測される。明治大学馬術部出身、吉永正人厩舎厩務員を経て伊藤伸一厩舎で調教助手を務めた経歴を持つ。弱みは直近3年の具体的な順位・勝率データや得意種牡馬の統計的傾向が確認できない点。向く血統はクラシック路線で活躍できる素質馬。一口馬主としては社台系クラブ馬を中心に据える会員に適した厩舎。
斎藤誠,美浦,47,20,6,10,7,4,D,クラブ馬向き/中距離向き,0,0,1,0,0,1,0,"ヌーヴォレコルト、ストーミーシー、シャドウディーヴァ、ブライアンセンス等を管理し、2024年にJRA通算500勝を達成したベテラン厩舎。2016年以降の通算成績は3,902戦363勝(勝率9.3%)という具体的な数値が確認できる。マーチS・エルムS・フェアリーSなど重賞実績もある。弱みは直近3年ごとの詳細な内訳や得意種牡馬、運用スタイルの具体的な情報が不足している点。向く血統は中距離で堅実に走れるタイプ。一口馬主としては派手さはないが安定した実績を持つ堅実派の厩舎。"
田中博康,美浦,85,32,12,20,16,5,A,クラブ馬向き/ダート向き/成長株/勝負師/使い分け上手,0,0,1,1,0,1,0,キャロットクラブ所属のレモンポップ(フェブラリーS、チャンピオンズC2勝)、ミッキーファイト(帝王賞)、鳴神(ジャパンダートクラシック)などダートGIで抜群の実績を誇り、2026年6月には安田記念をシックスペンスで制し芝GIにも進出した勢いのある厩舎。2024年にはJRA賞最高勝率調教師(勝率.239)と優秀技術調教師を受賞という公式データに裏付けられた高評価が特徴。フランス長期武者修行経験を持ち、2025年には仏ギヨームドルナノ賞で海外重賞も制覇するなど国際性も強み。向く血統はダートで底力を発揮するタイプ、近年は芝への対応力も向上中。一口馬主としては直近数年で最も勢いのある要注目厩舎の一つ。
松永幹夫,栗東,46,20,6,7,8,5,D,クラブ馬向き/クラシック向き/中距離向き,0,0,1,0,1,1,0,ラッキーライラック(エリザベス女王杯連覇などGI4勝)、レッドデザイア(2009年秋華賞)を管理した実績を持つベテラン厩舎。2015年にはJRA賞優秀技術調教師を受賞している。キャロットクラブ・シルクホースクラブからクラブ馬を受託していることが確認できる。弱みは直近3年の具体的な順位・勝率、得意種牡馬の傾向についての情報が乏しい点。向く血統は牝馬クラシック~古馬中距離で活躍できるタイプ。一口馬主としては実績十分だが、直近の勢いを判断する材料が不足しており追加確認が望ましい厩舎。
大久保龍志,栗東,28,10,4,5,5,4,D,長距離向き,0,0,1,0,0,0,0,ディープボンド(2021年天皇賞春)、チュウワウィザード等GI級の実績を持つベテラン厩舎だが、代表馬ディープボンドの馬主は個人(前田晋二氏)であり、クラブ馬としての所属クラブ名がWebSearchでは確認できず情報不足。一口馬主DBに専用ページはあるため何らかのクラブ馬管理歴はある可能性が高いが、具体的なクラブとの関係性が不明なため本評価ではクラブ馬向き適性を低く見積もっている。長距離GI(天皇賞春)での実績は明確な強み。向く血統はスタミナ型のステイヤー。一口馬主としての評価対象に含めるには、まず具体的な預託クラブの確認が必要な厩舎。
昆貢,栗東,33,12,5,5,6,5,D,クラシック向き/長距離向き/下降傾向,0,0,1,0,1,0,0,"ディープスカイ(2008年日本ダービー、NHKマイルC)、ヒルノダムール(天皇賞春)というGI馬を輩出した実績あるベテラン厩舎(1958年生まれ)。2016年以降の通算成績は2,090戦176勝(勝率8.4%)で、近年は活動規模がやや縮小している可能性がある。具体的な所属クラブ名や直近3年の詳細データ、得意種牡馬についてはWebSearchでは確認できず情報不足。向く血統はクラシック~長距離で底力を発揮するタイプ。一口馬主としては実績ある大ベテランだが、近年の勢いや現在の預託クラブ状況について追加確認が必要な厩舎。"
