trainer,strength,weakness,recommended_type,not_recommended_type,comment
須貝尚介,クロフネ系・ステイゴールド系という対照的な適性を使い分けられる技量、600勝達成。,厩舎の評判には賛否があるとの言及もあり(出典の信頼性は限定的)、直近成績データも不足。,個性の強い血統、短距離~長距離まで幅広く,情報不足のため判断が難しい,大物感のある馬を任せたい会員向き。個性派血統への対応力に強み。
高橋亮,キャロットクラブからの受託実績、騎手時代重賞7勝の経験。,GI級の実績や得意種牡馬、直近3年のデータがほとんど確認できず情報不足。,情報不足のため判断が難しい,情報不足のため判断が難しい,情報が少なく、出資前に追加リサーチを強く推奨する厩舎。
中竹和也,アカイイトによるエリザベス女王杯制覇などGI実績、通算300勝。,直近3年の具体的な順位・勝率、得意種牡馬、運用スタイルの情報が不足。,中距離で長く活躍できるタイプ,情報不足のため判断が難しい,実績はあるが直近の状態を見極めにくく、募集馬の個別評価と合わせて判断すべき厩舎。
上村洋行,阪神ジュベナイルフィリーズ制覇の実績、元騎手としての豊富な経験。,直近3年のデータ、得意種牡馬、運用スタイルの情報がほとんど確認できず情報不足。,早熟でスピードのあるタイプ,情報不足のため判断が難しい,情報が少なく、実績のある2歳戦線の即戦力を求める会員には候補になり得るが追加確認が必要。
高柳瑞樹,スターズオンアース・デュレッツァなど社台系GI馬を複数輩出、社台グループからの信頼度が高いと推測。,直近3年の具体的な順位・勝率データ、得意種牡馬の傾向が確認できない。,クラシック路線で活躍できる素質馬,情報不足のため判断が難しい,社台系クラブ馬を中心に据える会員に適した厩舎。
斎藤誠,マーチS・エルムS等重賞実績、通算500勝達成という堅実なキャリア。,年度別の詳細な内訳、得意種牡馬、運用スタイルの情報が不足。,中距離で堅実に走れるタイプ,情報不足のため判断が難しい,派手さはないが安定した実績を持つ堅実派の厩舎。
田中博康,ダートGIでの圧倒的な実績、2024年JRA賞最高勝率調教師受賞という公式データ、国際性の高さ。,芝路線はまだ実績が浅く(2026年安田記念が初のGI級)、今後の継続性は未知数。,ダートで底力を発揮するタイプ、近年は芝適性のある馬も,情報不足のため判断が難しい,直近数年で最も勢いのある要注目厩舎の一つ。ダート路線中心の出資に特に適する。
松永幹夫,ラッキーライラックのGI4勝、JRA賞優秀技術調教師受賞歴。,直近3年の具体的な順位・勝率、得意種牡馬の傾向についての情報が乏しい。,牝馬クラシック~古馬中距離で活躍できるタイプ,情報不足のため判断が難しい,実績十分だが直近の勢いを判断する材料が不足しており追加確認が望ましい厩舎。
大久保龍志,ディープボンドによる天皇賞春制覇などGI実績。,代表馬の馬主が個人であり所属クラブ名が確認できず、クラブ馬向き適性の判断材料に乏しい。,スタミナ型のステイヤー,情報不足のため判断が難しい,評価対象に含めるには、まず具体的な預託クラブの確認が必要な厩舎。
昆貢,ディープスカイ(日本ダービー)、ヒルノダムール(天皇賞春)というGI実績あるベテラン。,近年は活動規模がやや縮小している可能性があり、所属クラブ名や直近データも情報不足。,クラシック~長距離で底力を発揮するタイプ,情報不足のため判断が難しい,実績ある大ベテランだが、近年の勢いや現在の預託クラブ状況について追加確認が必要な厩舎。
